asset_id_pk,asset_tag,asset_cat_name,model_name,manufacturer_name,serial_number,location_name,status,supplier_name,department_name,sub_location,condition_name,support,warranty_start_date,warranty_end_date,amc_start_date,amc_end_date,Host_Name,OS,Invoice_Number,Invoice_Date,PONumber,PODate,AssetLife,AssetCost,CurrentCost,user_email,CostCenter,SoldAmount,SoldUser,SoldVendor,EmployeeCode,EmployeeName,EmployeeDepartment
3785,REA\LOCON\00080,HP 240 G8,HP 240 G8,HP ,5CG1446G84 ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3786,REA\LOCON\00081,HP 240 G8,HP 240 G8,HP ,5CG1446FQL ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3787,REA\LOCON\00082,HP 240 G8,HP 240 G8,HP ,5CG1447D15 ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3788,REA\LOCON\00083,HP 240 G8,HP 240 G8,HP ,5CG1446FR7 ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3789,REA\LOCON\00084,HP 240 G8,HP 240 G8,HP ,5CG1446FQS ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3790,REA\LOCON\00085,HP 240 G8,HP 240 G8,HP ,5CG1447CPR ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3791,REA\LOCON\00086,HP 240 G8,HP 240 G8,HP ,5CG1447D4W ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3792,REA\LOCON\00087,HP 240 G8,HP 240 G8,HP ,5CG1411GST ,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3793,REA\LOCON\00088,HP 240 G8,HP 240 G8,HP ,5CG1446FPW,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
3794,REA\LOCON\00089,HP 240 G8,HP 240 G8,HP ,5CG1333N4G,Gurgaon,In-Store,Zest Systems Private Limited,Administration,Gurgaon - Sector 32,New,Out Of Support,24-05-2020 00:00:00,24-05-2020 00:00:00,,,N/A,N/A,ZSPL2223-089,24-05-2022 00:00:00,07-05-2022 00:00:00,07-05-2022 00:00:00,0,58800,,N/A,GGNADM01,0,N/A,N/A,N/A,N/A,N/A
