Assets_Category,Sub_Location,Serial_Number,Cost,Purchase_Date
Laptop,Jaipur 2,9VFQLT2,92982.20,2019-08-01
Laptop,Jaipur 2,Testserial,N/A,N/A
Desktop,Jaipur 2,JRYW6L3- Express Service Code - 43050059607,65000.00,2022-01-10
Desktop,Jaipur 1,G6LDJF3- Express Service Code - 35227218063,61830.00,2021-07-03
Laptop,Jaipur 2,1YP6MG3-Express Service Code - 4274931747,97830.00,2021-12-31
Laptop,Jaipur 2,6GPGMG3- Express Service Code - 14070918819,98765.00,2022-01-07
Desktop,Jaipur 2,F6LDJF3- Express Service Code - 33050435727,65000.00,2021-07-03
Scanner,Jaipur 1,CN981B30G0,28250.00,2021-10-04
Printer,Jaipur 2,CNBRP8B7WN,18500.00,2021-10-04
Web Camera,Jaipur 2,Rohan-27-10-2005-20,649.00,2021-10-04
Speaker,Jaipur 1,2120FC070839,1340.00,2021-10-04
Printer,Jaipur 2,CNBRP8B846,18499.00,2021-10-05
Desktop,Jaipur 2,C6LDJF3- Express Service Code - 26520088719,65000.00,2021-07-03
Desktop,Jaipur 2,96LDJF3- Express Service Code - 19989741711,65000.00,2021-07-03
Desktop,Jaipur 1,2TYW6L3- Express Service Code - 6165692247,67000.00,2022-01-06
Desktop,Jaipur 2,383838,N/A,N/A
Mouse,Jaipur 2,SGRROHAN@12345,N/A,N/A
Desktop,Jaipur 2,rohan456789sgrl,N/A,N/A
Speaker,Delhi 2,187,200000.00,2022-08-04
Camera,Jaipur 1,177,N/A,N/A
Tables,Jaipur 1,1,N/A,N/A
MacBook,Gurgaon - Sector 32,fkldsjfksdjskdf,154500.00,2020-06-19
