AssetID,AssetCategory,SubLocation,SerialNumber,Cost,PurchaseDate,Life,Depreciation,ResidualCost,SoldAmount,DepCostTillLastFinYear,DepCostTillDate,WDVTillLastFinYear,WDVTillDate
3,Desktop,Jaipur 2,JRYW6L3// Express Service Code - 43050059607,65000,10-01-2022 00:00:00,3,33,0,0,-16917.6,31579.52,81917.6,33420.48
4,Desktop,Jaipur 1,G6LDJF3// Express Service Code - 35227218063,61830,03-07-2021 00:00:00,3,33,0,0,-5308.18,30042.04,67138.18,31787.96
5,Laptop,Jaipur 2,1YP6MG3//Express Service Code - 4274931747,97830,31-12-2021 00:00:00,3,33,0,0,-24568.5,47528.88,122398.5,50301.12
6,Laptop,Jaipur 2,6GPGMG3// Express Service Code - 14070918819,98765,07-01-2022 00:00:00,3,33,0,0,-25436.4,47986.4,124201.4,50778.6
7,Desktop,Jaipur 2,F6LDJF3// Express Service Code - 33050435727,65000,03-07-2021 00:00:00,3,33,0,0,-5579.84,31579.52,70579.84,33420.48
8,Scanner,Jaipur 1,CN981B30G0,28250,04-10-2021 00:00:00,5,20,0,0,-2894.76,8235.36,31144.76,20014.64
9,Printer,Jaipur 2,CNBRP8B7WN,18500,04-10-2021 00:00:00,5,20,0,0,-1896.18,5394.48,20396.18,13105.52
10,Web Camera,Jaipur 2,Rohan-27-10-2005-20,649,04-10-2021 00:00:00,5,20,0,0,-67.32,191.52,716.32,457.48
11,Speaker,Jaipur 1,2120FC070839,1340,04-10-2021 00:00:00,5,20,0,0,-136.51,388.36,1476.51,951.64
12,Printer,Jaipur 2,CNBRP8B846,18499,05-10-2021 00:00:00,5,20,0,0,-1906.32,5394.48,20405.32,13104.52
13,Desktop,Jaipur 2,C6LDJF3// Express Service Code - 26520088719,65000,03-07-2021 00:00:00,3,33,0,0,-5579.84,31579.52,70579.84,33420.48
14,Desktop,Jaipur 2,96LDJF3// Express Service Code - 19989741711,65000,03-07-2021 00:00:00,3,33,0,0,-5579.84,31579.52,70579.84,33420.48
16,Desktop,Jaipur 2,383838,,,3,33,,,0,0,0,0
17,Mouse,Jaipur 2,SGRROHAN@12345,,,,,,,0,0,0,0
